iter	RMSE
251	0.7111631527
252	0.7080587455
253	0.7042935525
254	0.7012458759
255	0.6975942837
256	0.6942949312
257	0.6918127965
258	0.688640332
259	0.6859666948
260	0.6823106489
261	0.6796653744
262	0.6772189476
263	0.6746091562
264	0.6722993857
265	0.6701128583
266	0.6668444312
267	0.664575887
268	0.6606156525
269	0.6595438721
270	0.656631323
271	0.6540219797
272	0.6529470487
273	0.6496338863
274	0.647230808
275	0.6447946173
276	0.6432675861
277	0.6405865231
278	0.63775601
279	0.6363400885
280	0.6344854991
281	0.6330540187
282	0.6318359506
283	0.6310227174
284	0.6296686565
285	0.6270407857
286	0.6238940544
287	0.6210256552
288	0.6180927896
289	0.6141488165
290	0.6102545859
291	0.6076957883
292	0.6046220612
293	0.6027742295
294	0.6002193819
295	0.5980659021
296	0.5954878725
297	0.5927984267
298	0.5917809086
299	0.5883718465
300	0.5858212755
301	0.5847491606
302	0.5818653331
303	0.5804881445
304	0.5770467357
305	0.5749777766
306	0.5740263457
307	0.57209254
308	0.5691708474
309	0.5673138251
310	0.5656275975
311	0.5639175016
312	0.5609391188
313	0.5588571753
314	0.5572257833
315	0.5552393957
316	0.5543288463
317	0.551899343
318	0.5493069398
319	0.5464317002
320	0.5441352831
321	0.5421464643
322	0.5410146166
323	0.5377099741
324	0.5366332507
325	0.5343119777
326	0.5323879627
327	0.5309439216
328	0.5286705293
329	0.525797237
330	0.5244014554
331	0.5221866808
332	0.5197780961
333	0.5182055597
334	0.5169299397
335	0.5151942247
336	0.5135644732
337	0.5121960037
338	0.5108780526
339	0.5086801591
340	0.5062404673
341	0.5042999762
342	0.5034750837
343	0.5021632163
344	0.5002136418
345	0.4979180636
346	0.4952819674
347	0.4945112051
348	0.4927149365
349	0.4905284831
350	0.4882489793
351	0.4860352654
352	0.4838846401
353	0.4821326377
354	0.4805754004
355	0.4783593244
356	0.4773167435
357	0.4753090155
358	0.4741858387
359	0.4725940908
360	0.4710945516
361	0.4696693529
362	0.4684321073
363	0.4669757344
364	0.4660630423
365	0.4647099145
366	0.4632672302
367	0.461566548
368	0.4605413062
369	0.4586265384
370	0.4575840541
371	0.4551258862
372	0.4540803681
373	0.4523572134
374	0.4503023755
375	0.4484105649
376	0.4474111417
377	0.4460744925
378	0.4444338026
379	0.4437821365
380	0.4429476203
381	0.4413748649
382	0.4400949306
383	0.4389108699
384	0.4378588536
385	0.4370458367
386	0.4364607669
387	0.4347834715
388	0.4336461238
389	0.4332739153
390	0.432747407
391	0.4305446919
392	0.4291189577
393	0.4266221158
394	0.4252266684
395	0.4241000289
396	0.4223451562
397	0.4202914629
398	0.4191645817
399	0.4188097718
400	0.4175429084
401	0.4164721709
402	0.4154326672
403	0.4142607707
404	0.4134093682
405	0.4121629386
406	0.4101090476
407	0.4091139531
408	0.407120574
409	0.4061638468
410	0.4053012387
411	0.4045363068
412	0.4035170414
413	0.4028444237
414	0.4011791811
415	0.4008766056
416	0.3990852072
417	0.3977653872
418	0.3961694822
419	0.3953438568
420	0.3940305313
421	0.3929668719
422	0.3926062955
423	0.3906611336
424	0.3896253126
425	0.3881212837
426	0.3868188925
427	0.3859107858
428	0.3852863083
429	0.3845252465
430	0.3833629171
431	0.3816804236
432	0.3805926057
433	0.3789311721
434	0.3785580274
435	0.377628238
436	0.377219336
437	0.3765396127
438	0.3758157738
439	0.3755020243
440	0.3743139783
441	0.3731229417
442	0.3716581622
443	0.3698246687
444	0.3695576343
445	0.3680898897
446	0.3668891212
447	0.3654453695
448	0.3648194857
449	0.3633478855
450	0.3627685269
451	0.3611190612
452	0.3608674022
453	0.3598237725
454	0.3590399275
455	0.3580311395
456	0.3571651639
457	0.3554482763
458	0.3546939023
459	0.3532641616
460	0.3520448431
461	0.3515563243
462	0.3510476785
463	0.3504670465
464	0.3502465701
465	0.349118961
466	0.347329403
467	0.3462650165
468	0.3450919715
469	0.3444104706
470	0.3438265055
471	0.3423344851
472	0.3412675902
473	0.3408374674
474	0.339976841
475	0.3385207489
476	0.3378400861
477	0.3363763146
478	0.3355909738
479	0.3351959943
480	0.3339797351
481	0.3327449311
482	0.3316317604
483	0.3307373876
484	0.3293439133
485	0.3291556457
486	0.3280628367
487	0.3271989705
488	0.3262251616
489	0.3259871796
490	0.3252524215
491	0.3239838405
492	0.3234825179
493	0.3232412259
494	0.3226098485
495	0.321745247
496	0.3210375813
497	0.3206963548
498	0.3203727064
499	0.3192131691
500	0.3190451964
501	0.3182894187
502	0.3173858163
503	0.3165475789
504	0.3152623024
505	0.3147974447
506	0.3137345621
507	0.3128518312
508	0.311591719
509	0.3104621432
510	0.3098186373
511	0.3083739513
512	0.3076488023
513	0.306802748
514	0.3060908441
515	0.304980755
516	0.3040030631
517	0.303110492
518	0.3025091903
519	0.3016211789
520	0.3013736157
521	0.3004677545
522	0.3001615453
523	0.2992855636
524	0.2986646247
525	0.2983066319
526	0.2977438329
527	0.29745454
528	0.2972803672
529	0.2964723246
530	0.2957417491
531	0.2952100064
532	0.2948308972
533	0.2944173482
534	0.2936355786
535	0.2929091558
536	0.2917811977
537	0.2916486803
538	0.2910456603
539	0.2909479134
540	0.2901411831
541	0.2891398294
542	0.2882349616
543	0.2877523467
544	0.2867649121
545	0.2861322624
546	0.2854821179
547	0.284964993
548	0.2845479286
549	0.2837947628
550	0.2824310935
551	0.2816582615
552	0.2807275541
553	0.2795518164
554	0.2791155763
555	0.2787563276
556	0.278002292
557	0.2773656519
558	0.2764066296
559	0.2758070427
560	0.2751966071
561	0.2745020441
562	0.2737181504
563	0.2731507103
564	0.2724269483
565	0.2720537851
566	0.2717320824
567	0.2715885825
568	0.2711116049
569	0.2702572296
570	0.2696697144
571	0.2694666058
572	0.2692270518
573	0.26887436
574	0.2677089334
575	0.267277397
576	0.2667997215
577	0.2658729788
578	0.2649252094
579	0.2642319265
580	0.2635290013
581	0.2631930102
582	0.2623497611
583	0.2618961596
584	0.2610492329
585	0.2600527445
586	0.2597051875
587	0.2595556542
588	0.2588471281
589	0.2580789861
590	0.2572772972
591	0.2569834785
592	0.2564164516
593	0.2560897659
594	0.255806342
595	0.2551516328
596	0.2545255645
597	0.2534432901
598	0.2524533813
599	0.2521734735
600	0.2515851688
601	0.2513028616
602	0.2503895941
603	0.2501956944
604	0.2493368449
605	0.2489561857
606	0.2483600772
607	0.247840785
608	0.2476270502
609	0.2468815248
610	0.2461328425
611	0.2458525189
612	0.2449072909
613	0.2445085949
614	0.2436868352
615	0.2431820996
616	0.2429170524
617	0.2423100464
618	0.2418832516
619	0.241536656
620	0.2407977652
621	0.2400980362
622	0.2397972159
623	0.2391950414
624	0.2390680726
625	0.2384579597
626	0.2376804868
627	0.2373243074
628	0.2370010815
629	0.2365047245
630	0.2359994004
631	0.2355863678
632	0.2351041954
633	0.2346066554
634	0.2341263924
635	0.2336169122
636	0.2330248997
637	0.2327189411
638	0.2324349476
639	0.2320536927
640	0.2312242173
641	0.230829233
642	0.2305194392
643	0.2300863031
644	0.2294936451
645	0.2292235019
646	0.2286474925
647	0.2283279008
648	0.227942072
649	0.2276809502
650	0.2271668677
651	0.2266925321
652	0.2260400069
653	0.2254899671
654	0.2249853895
655	0.2247652235
656	0.2243689435
657	0.2238966472
658	0.2235435345
659	0.222668944
660	0.2224120118
661	0.2219071519
662	0.2215103519
663	0.2211614461
664	0.2207066156
665	0.2199736645
666	0.2197434204
667	0.2194891891
668	0.2188713186
669	0.2185604593
670	0.2183336075
671	0.2176233134
672	0.2171919911
673	0.216820984
674	0.2159153463
675	0.2156323727
676	0.2154167943
677	0.2149631408
678	0.2145457837
679	0.2141898339
680	0.21390858
681	0.2136581949
682	0.2133868926
683	0.2128573516
684	0.2124733754
685	0.2121688994
686	0.2118660245
687	0.211450029
688	0.2110526599
689	0.2105970088
690	0.2102694292
691	0.2098929088
692	0.2097607418
693	0.2093010696
694	0.2087296791
695	0.2084649929
696	0.2082113321
697	0.2077900202
698	0.2072403079
699	0.2068336416
700	0.2067245425
701	0.2063986759
702	0.2061390703
703	0.205833246
704	0.2055395193
705	0.2052814159
706	0.2051717376
707	0.204741912
708	0.2045799479
709	0.2038421356
710	0.2035501783
711	0.203136799
712	0.2027215544
713	0.2022239062
714	0.2021574936
715	0.201648815
716	0.2015839096
717	0.2015330098
718	0.2010763634
719	0.2010083041
720	0.2003127761
721	0.1999663247
722	0.1997924139
723	0.1993357708
724	0.1991213073
725	0.198568664
726	0.1982762955
727	0.1979437139
728	0.1977189701
729	0.1972193633
730	0.196852636
731	0.1962352297
732	0.1960566925
733	0.1957787928
734	0.1954426499
735	0.1951738237
736	0.1949326569
737	0.1946362911
738	0.1942612778
739	0.193860222
740	0.1936501409
741	0.1932305218
742	0.1929775754
743	0.1926701314
744	0.1919359514
745	0.1912945328
746	0.1908841133
747	0.1905511828
748	0.1903402611
749	0.1902850306
750	0.1900406509
751	0.1899233571
752	0.1896380441
753	0.1891128722
754	0.1886925436
755	0.1885198743
756	0.1884222215
757	0.1882214891
758	0.1877691139
759	0.1874295933
760	0.1872250899
761	0.1870017305
762	0.1868668888
763	0.1864467016
764	0.1861123085
765	0.1854745629
766	0.1852642457
767	0.1850472232
768	0.1847787917
769	0.1843676542
770	0.1841669496
771	0.1837255773
772	0.1833859808
773	0.1830848393
774	0.1828120464
775	0.1826114925
776	0.1823871142
777	0.1821871258
778	0.181896636
779	0.1817067995
780	0.1815010146
781	0.1812420449
782	0.1811283588
783	0.1809528494
784	0.1807048819
785	0.1804111074
786	0.1799755067
787	0.1796367227
788	0.179412254
789	0.1789900516
790	0.1789510907
791	0.1787143598
792	0.1785246359
793	0.17834307
794	0.1780513858
795	0.1778510101
796	0.177380478
797	0.1770918333
798	0.1764473447
799	0.1761440142
800	0.1759836662
801	0.1756516878
802	0.1756146423
803	0.1754794021
804	0.1748667093
805	0.1745732508
806	0.1741909464
807	0.1739401981
808	0.1735126619
809	0.1731225937
810	0.1726732465
811	0.1723177197
812	0.1716311624
813	0.1713548436
814	0.1710620792
815	0.1709637422
816	0.1705325285
817	0.1700763586
818	0.1698697336
819	0.1696687682
820	0.1695752392
821	0.1691638837
822	0.1688051096
823	0.1684246301
824	0.1680066381
825	0.1678167432
826	0.1674855976
827	0.1668166829
828	0.1663267243
829	0.1659385458
830	0.1657663413
831	0.1657117411
832	0.1651814063
833	0.1649681893
834	0.1645789947
835	0.1643768416
836	0.1642353926
837	0.1640845429
838	0.1638089105
839	0.1635919817
840	0.1633842477
841	0.1631505498
842	0.1629519674
843	0.1626451696
844	0.1622467958
845	0.1618872053
846	0.1615458647
847	0.1612715072
848	0.1609955653
849	0.160806165
850	0.1605939647
851	0.1603691276
852	0.1601669154
853	0.1600877503
854	0.1597089277
855	0.1594036741
856	0.1589816554
857	0.1587883021
858	0.1585115219
859	0.1583057359
860	0.157895621
861	0.1576020879
862	0.1574013504
863	0.1570529557
864	0.1567512356
865	0.1565460436
866	0.1563755921
867	0.1559604753
868	0.1558552197
869	0.1556386088
870	0.1555209905
871	0.1553633021
872	0.1551010299
873	0.1549177745
874	0.1547336751
875	0.1546559086
876	0.1543291525
877	0.1540711843
878	0.1536541632
879	0.1532075231
880	0.1530254333
881	0.1529523813
882	0.1526189821
883	0.1524823726
884	0.1521874956
885	0.1520011907
886	0.1517029228
887	0.1514816637
888	0.1512394612
889	0.1510458501
890	0.1506520714
891	0.1503289635
892	0.1499840465
893	0.1496353056
894	0.1494354067
895	0.1493200929
896	0.1490143026
897	0.1488662674
898	0.1486838072
899	0.1483991043
900	0.1482194953
901	0.1479824241
902	0.1477978841
903	0.1472092344
904	0.1470072166
905	0.1469320867
906	0.1467652842
907	0.1464435542
908	0.1461196845
909	0.145823414
910	0.1456598252
911	0.1452224539
912	0.1449856585
913	0.1446124747
914	0.1442986037
915	0.1442776857
916	0.1441021172
917	0.1438656959
918	0.1434561369
919	0.1431007563
920	0.1430285845
921	0.142904732
922	0.1426222036
923	0.1424025009
924	0.142332347
925	0.1422681731
926	0.1418820538
927	0.1417112515
928	0.1414468236
929	0.1412349462
930	0.1410330498
931	0.140814948
932	0.1407154908
933	0.1405560747
934	0.1403646269
935	0.1402111016
936	0.1401302634
937	0.1400140301
938	0.139893967
939	0.1397554418
940	0.1396011974
941	0.139433195
942	0.1393076313
943	0.1391372066
944	0.1389656469
945	0.1388630449
946	0.1385916132
947	0.1382596287
948	0.1380934306
949	0.1377566128
950	0.1374364365
951	0.1372883898
952	0.1370684718
953	0.1369132509
954	0.1367896046
955	0.1366279781
956	0.1364801367
957	0.1363434943
958	0.136250102
959	0.1360849874
960	0.1359882683
961	0.1355540432
962	0.1353200244
963	0.1350790256
964	0.1349184015
965	0.1347868748
966	0.1344426775
967	0.1343647194
968	0.1340949151
969	0.1338298639
970	0.133530512
971	0.1334628951
972	0.133335358
973	0.1330269509
974	0.1328433844
975	0.1326554299
976	0.1325190229
977	0.1322157231
978	0.1319947334
979	0.1318545659
980	0.1316966199
981	0.1314761252
982	0.1312451496
983	0.1309405454
984	0.1307332941
985	0.1306569184
986	0.1305274823
987	0.1302272166
988	0.1301057411
989	0.1299195397
990	0.1296111839
991	0.1293363217
992	0.1288500735
993	0.1285283516
994	0.1283676354
995	0.1280787457
996	0.1278155367
997	0.1277527591
998	0.1275294179
999	0.1273824077
