model,MAE,RMSE,sMAPE,R2,train_R2,overfit_gap_R2
XGBoost,304.6380535782548,698.6695866568984,59.36638479221913,0.5679081562424206,0.6396331165707788,0.07172496032835818
HistGradientBoosting,307.1835981951633,705.8992253349235,59.796687867487485,0.558919557269624,0.6145525938057879,0.055633036536163916
LightGBM,307.732305819875,706.2119966203086,60.28287852496419,0.5585286010104851,0.601275777969976,0.04274717695949093
RandomForest,315.09549623263297,720.7434687763147,61.731093075262336,0.540173684030425,0.6093999951970026,0.06922631116657763
CatBoost,341.55891144829684,791.9308693616676,64.8927251428332,0.4448543574386614,0.4463464319146445,0.0014920744759830962
Lasso,399.3041521321717,831.6089554657063,71.36329627764144,0.3878318838212208,0.3975129310099903,0.009681047188769498
Ridge,415.12748620757367,887.807063683741,69.34002829973228,0.30229861769274435,0.4386034639883142,0.13630484629556983
baseline_mean,597.1534502355946,1179.712786515626,111.84392678230077,-0.2319269737822347,,
baseline_persistence (yesterday's market avg/store),748.8104740749552,1169.855452069105,115.40421094895406,-0.21142574246466173,,
