market,name,date,heat_distance_bucket,latitude,longitude,allocated_visitor_count,n_pois_in_bucket,n_candidates_in_group,confidence
Dallas,AutoZone,2020-04-29,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-05-10,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-05-12,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-06-18,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-06-23,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-06-27,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-06-29,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-07-19,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-07-20,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-10-13,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-11-11,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-11-14,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-12-20,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2020-12-26,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-02-07,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-02-27,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-04-08,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-04-23,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-06-28,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-07-11,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-07-16,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-07-29,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-08-08,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-08-11,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-08-22,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-08-24,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-09-06,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-10-16,2-3km,32.60530777381819,-96.78105987309402,510.0,1,1,split_estimate
Dallas,AutoZone,2021-10-22,2-3km,32.60530777381819,-96.78105987309402,373.0,1,1,split_estimate
Dallas,AutoZone,2021-11-20,2-3km,32.60530777381819,-96.78105987309402,578.0,1,1,split_estimate
Dallas,AutoZone,2021-11-28,2-3km,32.60530777381819,-96.78105987309402,152.0,1,1,split_estimate
Dallas,AutoZone,2021-12-08,2-3km,32.60530777381819,-96.78105987309402,648.0,1,1,split_estimate
Dallas,AutoZone,2021-12-12,2-3km,32.60530777381819,-96.78105987309402,286.0,1,1,split_estimate
Dallas,AutoZone,2021-12-25,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2021-12-31,2-3km,32.60530777381819,-96.78105987309402,181.0,1,1,split_estimate
Dallas,AutoZone,2022-01-01,2-3km,32.60530777381819,-96.78105987309402,153.0,1,1,split_estimate
Dallas,AutoZone,2022-02-22,2-3km,32.60530777381819,-96.78105987309402,578.0,1,1,split_estimate
Dallas,AutoZone,2022-04-24,2-3km,32.60530777381819,-96.78105987309402,433.0,1,1,split_estimate
Dallas,AutoZone,2022-05-12,2-3km,32.60530777381819,-96.78105987309402,489.0,1,1,split_estimate
Dallas,AutoZone,2022-05-30,2-3km,32.60530777381819,-96.78105987309402,515.0,1,1,split_estimate
Dallas,AutoZone,2022-06-17,2-3km,32.60530777381819,-96.78105987309402,502.0,1,1,split_estimate
Dallas,AutoZone,2022-06-24,2-3km,32.60530777381819,-96.78105987309402,471.0,1,1,split_estimate
Dallas,AutoZone,2022-07-06,2-3km,32.60530777381819,-96.78105987309402,511.0,1,1,split_estimate
Dallas,AutoZone,2022-07-18,2-3km,32.60530777381819,-96.78105987309402,402.0,1,1,split_estimate
Dallas,AutoZone,2022-08-07,2-3km,32.60530777381819,-96.78105987309402,356.0,1,1,split_estimate
Dallas,AutoZone,2022-10-06,2-3km,32.60530777381819,-96.78105987309402,371.0,1,1,split_estimate
Dallas,AutoZone,2022-10-11,2-3km,32.60530777381819,-96.78105987309402,195.0,1,1,split_estimate
