model,MAE,RMSE,sMAPE,R2
RandomForest,11685.342993236041,16137.548333500328,14.78953536650386,0.9601384304443472
HistGradientBoosting,12138.564008237903,16134.362328714162,16.99385593259228,0.9601541684749534
Ridge,12558.868353507045,17934.22533372833,15.983841542531184,0.9507683345934657
Lasso,12827.313027396567,18553.15820817762,16.142702094533114,0.9473116038225006
baseline_seasonal_naive (same month last year),14175.280303030302,19218.55397766503,20.248211161316092,0.9434645701275075
Prophet (per-market),15864.00006400811,23539.745955766444,17.57102542222368,0.915183015837874
baseline_persistence (last month),16571.825757575756,24296.66589781404,19.56409285929282,0.9096407439545852
SARIMA (per-market),20704.98545346579,31428.068788327422,22.308115283217276,0.8488129221233468
baseline_mean,60819.02442349708,86878.40937649964,62.8528247257313,-0.1553218979456592
