model,forecast_month,n_market_days,MAE,RMSE,sMAPE,R2
baseline_trailing_7,2024-12,31,3669.680177473236,4609.371435100623,56.5875200590365,-0.3757405021709881
"GradientBoosting (quantile P50, daily, market grain)",2024-12,31,4275.3686403075,5311.163766463465,60.18255179209247,-0.8265539179395895
"RandomForest (daily, market grain)",2024-12,31,4435.410780705448,5525.885796606714,63.125887101746535,-0.977228770530735
"HistGradientBoosting (daily, market grain)",2024-12,31,4699.397841233952,5590.3022386312205,65.46056965707217,-1.0235954215579097
baseline_seasonal_365,2024-12,31,5513.870967741936,6666.490211643269,76.48887161544336,-1.8777138205293786
