horizon_day,n_stores,MAE,RMSE,sMAPE,R2
1,51,324.7143709986818,760.9771277262196,171.0679747961959,0.392431584462693
2,55,532.2391604336825,995.8840539986506,59.75731475245851,0.38752683798404575
3,53,355.5376834959354,715.9662163537438,54.93195462900977,0.32071112211182207
4,50,301.5698544444889,533.1114249032295,89.23507470490505,0.5520936766404058
5,36,233.5833419168161,438.07693583322384,89.04727343275512,0.6195244670735442
6,52,176.88249498147232,346.02158209880076,46.36694070118553,0.6098976948120789
7,49,283.3367109882588,557.194812293111,50.11156184006536,0.609159633784339
