time_fk,state_fk,market_fk,daily_visitors,n_stores_reporting,is_hot_season
2020-04-03,CA,Los Angeles / SF Bay Area,2151.0,15,False
2020-04-04,CA,Los Angeles / SF Bay Area,495.0,13,False
2020-04-05,CA,Los Angeles / SF Bay Area,258.0,14,False
2020-04-06,CA,Los Angeles / SF Bay Area,163.0,9,False
2020-04-07,CA,Los Angeles / SF Bay Area,53.0,7,False
2020-04-08,CA,Los Angeles / SF Bay Area,250.0,16,False
2020-04-09,CA,Los Angeles / SF Bay Area,953.0,12,False
2020-04-10,CA,Los Angeles / SF Bay Area,724.0,10,False
2020-04-11,CA,Los Angeles / SF Bay Area,1445.0,13,False
2020-04-12,CA,Los Angeles / SF Bay Area,5812.0,11,False
2020-04-13,CA,Los Angeles / SF Bay Area,3281.0,10,False
2020-04-14,CA,Los Angeles / SF Bay Area,561.0,6,False
2020-04-15,CA,Los Angeles / SF Bay Area,1031.0,7,False
2020-04-16,CA,Los Angeles / SF Bay Area,727.0,14,False
2020-04-17,CA,Los Angeles / SF Bay Area,492.0,10,False
2020-04-18,CA,Los Angeles / SF Bay Area,353.0,9,False
2020-04-19,CA,Los Angeles / SF Bay Area,534.0,10,False
2020-04-20,CA,Los Angeles / SF Bay Area,283.0,10,False
2020-04-21,CA,Los Angeles / SF Bay Area,3617.0,17,False
2020-04-22,CA,Los Angeles / SF Bay Area,467.0,10,False
2020-04-23,CA,Los Angeles / SF Bay Area,551.0,12,False
2020-04-24,CA,Los Angeles / SF Bay Area,5789.0,11,False
2020-04-25,CA,Los Angeles / SF Bay Area,416.0,5,False
2020-04-26,CA,Los Angeles / SF Bay Area,4832.0,13,False
2020-04-27,CA,Los Angeles / SF Bay Area,541.0,10,False
2020-04-28,CA,Los Angeles / SF Bay Area,2049.0,15,False
2020-04-29,CA,Los Angeles / SF Bay Area,8668.0,14,False
2020-04-30,CA,Los Angeles / SF Bay Area,3427.0,9,False
2020-05-01,CA,Los Angeles / SF Bay Area,3132.0,10,False
2020-05-02,CA,Los Angeles / SF Bay Area,2699.0,8,False
2020-05-03,CA,Los Angeles / SF Bay Area,5070.0,14,False
2020-05-04,CA,Los Angeles / SF Bay Area,454.0,11,False
2020-05-05,CA,Los Angeles / SF Bay Area,307.0,7,False
2020-05-06,CA,Los Angeles / SF Bay Area,537.0,14,False
2020-05-07,CA,Los Angeles / SF Bay Area,1718.0,7,False
2020-05-08,CA,Los Angeles / SF Bay Area,7662.0,15,False
2020-05-09,CA,Los Angeles / SF Bay Area,1113.0,4,False
2020-05-10,CA,Los Angeles / SF Bay Area,1151.0,6,False
2020-05-11,CA,Los Angeles / SF Bay Area,1811.0,13,False
2020-05-12,CA,Los Angeles / SF Bay Area,13280.0,9,False
2020-05-13,CA,Los Angeles / SF Bay Area,1667.0,11,False
2020-05-14,CA,Los Angeles / SF Bay Area,9274.0,13,False
2020-05-15,CA,Los Angeles / SF Bay Area,6801.0,17,False
2020-05-16,CA,Los Angeles / SF Bay Area,2807.0,13,False
2020-05-17,CA,Los Angeles / SF Bay Area,3069.0,12,False
2020-05-18,CA,Los Angeles / SF Bay Area,6414.0,7,False
2020-05-19,CA,Los Angeles / SF Bay Area,6737.0,15,False
2020-05-20,CA,Los Angeles / SF Bay Area,1871.0,13,False
2020-05-21,CA,Los Angeles / SF Bay Area,8215.0,11,False
2020-05-22,CA,Los Angeles / SF Bay Area,2421.0,10,False
2020-05-23,CA,Los Angeles / SF Bay Area,6577.0,18,False
2020-05-24,CA,Los Angeles / SF Bay Area,5845.0,11,False
2020-05-25,CA,Los Angeles / SF Bay Area,2180.0,4,False
