state_fk,market_fk,month,date,predicted,actual,abs_error,pct_error
CA,Los Angeles / SF Bay Area,2020-02,2020-02-01,9064.328373669838,26777.0,17712.671626330164,0.661488278236179
CA,Los Angeles / SF Bay Area,2020-02,2020-02-02,7583.88964860829,3119.0,4464.88964860829,1.431513192884992
CA,Los Angeles / SF Bay Area,2020-02,2020-02-03,9634.794174525448,5495.0,4139.794174525448,0.7533747360373882
CA,Los Angeles / SF Bay Area,2020-02,2020-02-04,4760.990281907094,10414.0,5653.009718092906,0.5428278968785198
CA,Los Angeles / SF Bay Area,2020-02,2020-02-05,5411.811788842103,12942.0,7530.188211157897,0.5818411536978749
CA,Los Angeles / SF Bay Area,2020-02,2020-02-06,6599.063081000365,10796.0,4196.936918999635,0.38874925148199657
CA,Los Angeles / SF Bay Area,2020-02,2020-02-07,9029.183415172265,7566.0,1463.183415172265,0.19338929621626555
CA,Los Angeles / SF Bay Area,2020-02,2020-02-08,9064.328373669838,9601.0,536.6716263301623,0.055897471756083984
CA,Los Angeles / SF Bay Area,2020-02,2020-02-09,7583.88964860829,4348.0,3235.8896486082904,0.7442248501858993
CA,Los Angeles / SF Bay Area,2020-02,2020-02-10,9634.794174525448,7136.0,2498.7941745254484,0.3501673450848442
CA,Los Angeles / SF Bay Area,2020-02,2020-02-11,4760.990281907094,5781.0,1020.009718092906,0.17644174331307838
CA,Los Angeles / SF Bay Area,2020-02,2020-02-12,5411.811788842103,11170.0,5758.188211157897,0.5155047637563024
CA,Los Angeles / SF Bay Area,2020-02,2020-02-13,6599.063081000365,13529.0,6929.936918999635,0.5122283183531403
CA,Los Angeles / SF Bay Area,2020-02,2020-02-14,9029.183415172265,16836.0,7806.816584827735,0.4636978251857766
CA,Los Angeles / SF Bay Area,2020-02,2020-02-15,9064.328373669838,5939.0,3125.3283736698377,0.5262381501380431
CA,Los Angeles / SF Bay Area,2020-02,2020-02-16,7583.88964860829,9407.0,1823.1103513917096,0.1938035879017444
CA,Los Angeles / SF Bay Area,2020-02,2020-02-17,9634.794174525448,1874.0,7760.794174525448,4.141298919170463
CA,Los Angeles / SF Bay Area,2020-02,2020-02-18,4760.990281907094,3359.0,1401.990281907094,0.41738323367284724
CA,Los Angeles / SF Bay Area,2020-02,2020-02-19,5411.811788842103,7578.0,2166.188211157897,0.2858522316122852
CA,Los Angeles / SF Bay Area,2020-02,2020-02-20,6599.063081000365,10769.0,4169.936918999635,0.3872167256940881
CA,Los Angeles / SF Bay Area,2020-02,2020-02-21,9029.183415172265,12920.0,3890.816584827735,0.30114679449131077
CA,Los Angeles / SF Bay Area,2020-02,2020-02-22,9064.328373669838,17924.0,8859.671626330162,0.4942909856243117
CA,Los Angeles / SF Bay Area,2020-02,2020-02-23,7583.88964860829,4489.0,3094.8896486082904,0.6894385494783449
CA,Los Angeles / SF Bay Area,2020-02,2020-02-24,9634.794174525448,12509.0,2874.2058254745516,0.2297710308957192
CA,Los Angeles / SF Bay Area,2020-02,2020-02-25,4760.990281907094,11669.0,6908.009718092906,0.5919967193498077
CA,Los Angeles / SF Bay Area,2020-02,2020-02-26,5411.811788842103,1945.0,3466.811788842103,1.7824225135434977
CA,Los Angeles / SF Bay Area,2020-02,2020-02-27,6599.063081000365,10449.0,3849.936918999635,0.36845027457169444
CA,Los Angeles / SF Bay Area,2020-02,2020-02-28,9029.183415172265,15683.0,6653.816584827735,0.42426937351448923
CA,Los Angeles / SF Bay Area,2020-02,2020-02-29,9064.328373669838,12804.0,3739.6716263301623,0.2920705737527462
CA,Los Angeles / SF Bay Area,2020-03,2020-03-01,7852.933185667746,5069.0,2783.9331856677463,0.5492075726312382
CA,Los Angeles / SF Bay Area,2020-03,2020-03-02,9959.188501939596,5313.0,4646.188501939596,0.8744943538376804
CA,Los Angeles / SF Bay Area,2020-03,2020-03-03,7387.068357068712,2172.0,5215.068357068712,2.401044363291304
