state_fk,market_fk,as_of_date,time_fk,forecast_daily_visitors,is_hot_season,forecast_method
FL,Miami,2024-12-31,2025-01-16,5264.007504445577,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-17,5851.453859859153,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-18,5688.11894971974,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-19,5135.9312819709785,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-20,4813.833634697475,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-21,4598.4444297268965,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-22,4927.504570231763,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-23,5264.007504445577,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-24,5851.453859859153,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-25,5688.11894971974,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-26,5135.9312819709785,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-27,4813.833634697475,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-28,4598.4444297268965,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-29,4927.504570231763,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-30,5264.007504445577,False,trailing_7day_level_x_real_weekday_profile
FL,Miami,2024-12-31,2025-01-31,5851.453859859153,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-01,2224.2424367900194,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-02,2234.1860278286144,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-03,2589.184078407521,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-04,2643.487602539657,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-05,2068.915668745311,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-06,1870.4432813893873,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-07,1905.6377685429516,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-08,2224.2424367900194,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-09,2234.1860278286144,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-10,2589.184078407521,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-11,2643.487602539657,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-12,2068.915668745311,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-13,1870.4432813893873,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-14,1905.6377685429516,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-15,2224.2424367900194,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-16,2234.1860278286144,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-17,2589.184078407521,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-18,2643.487602539657,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-19,2068.915668745311,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-20,1870.4432813893873,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-21,1905.6377685429516,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-22,2224.2424367900194,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-23,2234.1860278286144,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-24,2589.184078407521,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-25,2643.487602539657,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-26,2068.915668745311,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-27,1870.4432813893873,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-28,1905.6377685429516,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-29,2224.2424367900194,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-30,2234.1860278286144,False,trailing_7day_level_x_real_weekday_profile
GA,Atlanta,2024-12-31,2025-01-31,2589.184078407521,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-01,348.71766392623334,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-02,303.97371156639616,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-03,364.8260293371006,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-04,356.54643390253,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-05,339.256597891073,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-06,279.184218697448,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-07,281.8302791860717,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-08,348.71766392623334,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-09,303.97371156639616,False,trailing_7day_level_x_real_weekday_profile
